text,drugs,symptoms,relations
"This is a ""dangerous"" medication! I was on 20mgs for three weeks. I went to the hospital with what I thought was a heart attack! I have severe muscle spasms, muscle cramping, trouble breathing, weakness, slurred speech, heart palpitations, memory loss,and extreme anxiety/panic attacks and spikes in my sugar levels. I took myself off this drug and have been off for a little over 2 weeks but the effects still haven't completely gone away. No Doctor is going to tell you this drug is bad but believe me I have never been more fearful for my health than I am right now. I've spent $100's of dollars just to have health care professionals dodge my questions when I ask them candidly ""are these symptoms from the pravastatin"". I don't know whether I should be happy to be alive or scared shitless of the damages this drug may have done to me. I'm sickened that anything this dangerous to the publics health, is even on the market. This goes to show you just how powerful the pharmaceutical industry is. They suppress vital information, and the doctors will ""never"" admit that it's dangerous. I can tell you that if my symptoms persist I'm going after Goliath!If the public will take a stand, dangerous medications like this one can be pulled off the market. They can site all the clinical research they want, but based on the reviews I've read here leaves little doubt in my mind what the doctors put in my body was poison. If anyone reads this please think twice before you take this medication.       Read More Read Less",['pravastatin'],"['severe muscle spasms', 'heart palpitations', 'slurred speech', 'memory loss', 'heart attack', 'weakness', 'trouble breathing', 'muscle cramping', 'extreme anxiety/panic attacks', 'spikes in my sugar levels']","[('pravastatin', 'has_adverse_drug_reaction', 'severe muscle spasms'), ('pravastatin', 'has_adverse_drug_reaction', 'muscle cramping'), ('pravastatin', 'has_adverse_drug_reaction', 'trouble breathing'), ('pravastatin', 'has_adverse_drug_reaction', 'weakness'), ('pravastatin', 'has_adverse_drug_reaction', 'slurred speech'), ('pravastatin', 'has_adverse_drug_reaction', 'heart palpitations'), ('pravastatin', 'has_adverse_drug_reaction', 'memory loss'), ('pravastatin', 'has_adverse_drug_reaction', 'extreme anxiety/panic attacks'), ('pravastatin', 'has_adverse_drug_reaction', 'spikes in my sugar levels')]"
"pravastatin worked well, however after taking it for a year I developed leg pain in my left leg. I have discontinued using it.",['pravastatin'],['leg pain in my left leg'],"[('pravastatin', 'has_adverse_drug_reaction', 'leg pain in my left leg')]"
"Update:  stopped pravastatin two months ago, muscle aches are decreasing, stomach discomfort is gone, dirrhea has stopped....I will NEVER take a statin again!!","['pravastatin', 'statin']","['muscle aches', 'dirrhea', 'stomach discomfort']","[('pravastatin', 'has_adverse_drug_reaction', 'muscle aches'), ('pravastatin', 'has_adverse_drug_reaction', 'stomach discomfort'), ('pravastatin', 'has_adverse_drug_reaction', 'dirrhea')]"
"After 2 weeks on the 40mg tablet I had severe pain in my feet&hands.Burning,shooting pains that kept me awake-nothing relieved the pain.Then I started going into a state of severe exhaustion by the end of each day.My arms&legs felt like leaden weights.I could barely move them and normally I am a very active person.This went on for the 3rd week and finally I stopped the pravastatin.It took another full week to slowly recover from all the side effects but I am starting to feel normal again.I would rather take my chances with diet,weight loss & exercise rather than take any cholesterol drugs again.Read More Read Less",['pravastatin'],"['severe pain in my feet&hands', 'Burning,shooting pains', 'arms&legs felt like leaden weights', 'severe exhaustion']","[('pravastatin', 'has_adverse_drug_reaction', 'severe pain in my feet&hands'), ('pravastatin', 'has_adverse_drug_reaction', 'Burning,shooting pains'), ('pravastatin', 'has_adverse_drug_reaction', 'severe exhaustion'), ('pravastatin', 'has_adverse_drug_reaction', 'arms&legs felt like leaden weights')]"
"After trying 5-7 other statin drugs, etc. for high choloesterol(low HDL and high LDL) my VA PCC decided to try this one. It has been great for me and I needed one badly due to congestive heart failure in 98. In 2 months time my overal cholerterol went from 220 to 165. Just got my lab report last week and it covered the period 12/12/11 to 2/21/12. My bad went from 151 to 103(needs to be under 100) and my good stayed the same at 34(need to get it up to 40). Don't know why it stayed the same. Just need to exercise more, he says. I was on 20mg per day until he saw whether or not I could tolerate it. Had severe leg pain with all the other statin drugs. I had very little (tolerable) muscle ache with pravastatin, compared with the others. The only major side effect I had was constipation initially. I was able to compensate for that by doubling my dosage of Aloe Vera, which I take daily for regularity. That worked for me after 3-4 days. I am a strong believer in Pravastatin now, and my sister takes it also. She has had no problems with it. If you have had problems with statin drugs, make sure your doctor tries this one on you.Read More Read Less","['pravastatin', 'Aloe Vera', 'statin drugs']","['very little (tolerable) muscle ache', 'low HDL', 'high LDL', 'constipation', 'high choloesterol', 'severe leg pain', 'congestive heart failure']","[('statin drugs', 'has_adverse_drug_reaction', 'severe leg pain'), ('pravastatin', 'has_adverse_drug_reaction', 'very little (tolerable) muscle ache'), ('pravastatin', 'has_adverse_drug_reaction', 'constipation'), ('Aloe Vera', 'has_positive_reaction', 'constipation')]"
A week after starting pravastatin I started having irregular heartbeats. It went on for a couple of weeks when my Dr put me on a heart monitor that I wore for a month. Palpitations and irregular beats were terrible. I stopped the prevastatin on my own and within a week the heart problems were gone. I will never take another statin.,"['pravastatin', 'statin', 'prevastatin']","['irregular heartbeats', 'irregular beats', 'Palpitations', 'heart problems']","[('pravastatin', 'has_adverse_drug_reaction', 'irregular heartbeats'), ('pravastatin', 'has_adverse_drug_reaction', 'Palpitations'), ('pravastatin', 'has_adverse_drug_reaction', 'irregular beats')]"
"Took pravastatin 20 mg. for 10 days. Nausea, stomach cramps, constipation, feel hot, head hurts, can't sleep, muscle spasms in shins down to feet. No way Josita! Meds hit the trashcan!",['pravastatin'],"['feel hot', 'muscle spasms in shins down to feet', 'constipation', ""can't sleep"", 'Nausea', 'stomach cramps', 'head hurts']","[('pravastatin', 'has_adverse_drug_reaction', 'Nausea'), ('pravastatin', 'has_adverse_drug_reaction', 'stomach cramps'), ('pravastatin', 'has_adverse_drug_reaction', 'constipation'), ('pravastatin', 'has_adverse_drug_reaction', 'feel hot'), ('pravastatin', 'has_adverse_drug_reaction', ""can't sleep""), ('pravastatin', 'has_adverse_drug_reaction', 'muscle spasms in shins down to feet')]"
"60 yr old/young male, Not sure if I had high cholesterol or not but I had a stent placed in mid2012 and the doc placed me on crestor with immediate muscle aches then I went to simvastin/Zocor and lastly pravastatin and continually reducing the dosage, my legs were killing me, I quit all statins on 28 feb 2014 after 2 yrs of bouncing around different statins and started taking red yeast rice with a coQ-10 powder drink & plant sterols, called the heart doctor told the assistant that and they called back later that evening wanting me to try lovastatin, I picked up that 90 day prescription and placed it in the cupboard, my wife said you've been off the statins for 2 months so go get the cholesterol test before you start with those so I did the numbers came back 180 for total, 107 LDL, 53 HDL, 101 TRI, so I think I'm good with what I've been doing and I even had 4 slices of pizza 2 days before the test, my legs are starting to get back to normal and I feel great...Statins are not for everybody...Wish everyone best of luck in their journey for what works with them.     Read More Read Less","['pravastatin', 'lovastatin', 'coQ-10 powder drink', 'crestor', 'simvastin', 'Zocor', 'plant sterols', 'red yeast rice']","['muscle aches', 'legs were killing me']","[('crestor', 'has_adverse_drug_reaction', 'muscle aches')]"
Been taking this drug off and on for several months had issues with heart burn but just a week ago started taking it everyday and ended up in the er felt like I was having a heart attack heaviness in my chest can't hardly breath legs hurt this happened very soon after I started taking it regularly I stopped taking it just a couple days ago and hoping these symtoms will stop I feel so bad and the er doc could not find anything wrong so they say it has to be the pravastatin I guess I will see,['pravastatin'],"['heaviness in my chest', 'legs hurt', ""can't hardly breath"", 'heart burn', 'felt like I was having a heart attack']","[('pravastatin', 'has_adverse_drug_reaction', 'heart burn'), ('pravastatin', 'has_adverse_drug_reaction', 'felt like I was having a heart attack'), ('pravastatin', 'has_adverse_drug_reaction', 'heaviness in my chest'), ('pravastatin', 'has_adverse_drug_reaction', ""can't hardly breath"")]"
"I have experienced severe headaches and dizziness and don't know what to attribute it to  I take this medication and pravastatin, plus I go every 3 months for a hormone shot for bone cancer as a result of Prostate not being caught in a timely manner!",['pravastatin'],"['severe headaches', 'dizziness']",[]
"I'm taking 20mg at bedtime of pravastatin to lower chloretral in 54 yr. old male.  No complaints; Very little if any side effects....most of the posts on this thread are wrong - for me very mild side effects....just mild tireness and that's fine, because taking medicine at bedtime, as directed.  Some overall weakness, but it's not too bad....intend to take for 6 months before getting a blood test.",['pravastatin'],"['overall weakness', 'mild tireness']","[('pravastatin', 'has_adverse_drug_reaction', 'mild tireness'), ('pravastatin', 'has_adverse_drug_reaction', 'overall weakness')]"
Soon after taking pravastatin I noticed an increase in arthritis-like pain in my fingers almost to the point of a crippling form. Is this one of the side effects?,['pravastatin'],"['increase in arthritis-like pain in my fingers', 'crippling form']","[('pravastatin', 'has_adverse_drug_reaction', 'increase in arthritis-like pain in my fingers'), ('pravastatin', 'has_adverse_drug_reaction', 'crippling form')]"
I have parakinson's.before pravastatin I could work out and walk three miles after taking it I could hardly stand!I'm not taking it again. it took 2 and a half weeks for this to happen.,['pravastatin'],['could hardly stand'],"[('pravastatin', 'has_adverse_drug_reaction', 'could hardly stand')]"
"Have been on pravastatin 40 mg for 6 yrs.  Was on Crestor before. Had blocked neck artery in '06 and heart valve replaced in '10.  Thought sleeplessness was normal part of growing older, until I read reviews.  Been taking benedryal every night to help sleep.","['pravastatin', 'benedryal', 'Crestor']","['sleeplessness', 'heart valve replaced', 'blocked neck artery']",[]
"After taking first dose of pravastatin sodium, I began itching all over.  Next day I took it I itched all over again and throat felt tight. I was told to wait 1 week and try it again. I fear taking it again.",['pravastatin sodium'],"['itched all over again', 'throat felt tight', 'itching all over']","[('pravastatin sodium', 'has_adverse_drug_reaction', 'itching all over'), ('pravastatin sodium', 'has_adverse_drug_reaction', 'itched all over again'), ('pravastatin sodium', 'has_adverse_drug_reaction', 'throat felt tight')]"
"I previosly took Zocor for 10 months--- had severe muscle pain and memory loss on 20 mg then 10 mg dose. Stopped taking any statin for about 9 months and the symptoms resolved over time, although not completely as far as regaining full muscle strength. My total cholesterol rose again to 255. By the way, I've always had very low triglycerides(less than 85)and high HDL(+75).    My Dr. convinced me to try pravastatin 10 mg. and after 2 months my labs show a good result---  Total cholest. down 50 points. The good news ends there.  After the 1st. month on pravastatin, I have increasing fatigue, gas and bloating, heart palpitations,and balance problems that have contributed to stumbling and a painful fall. I'm seeing the Dr. tomorrow and I think I""ll just take my chances with no more meds. QUALITY of life DOES matter!!   Thanks to all of you for sharing--it helps to know that I'm not going crazy.   Read More Read Less","['pravastatin', 'Zocor']","['heart palpitations', 'memory loss', 'increasing fatigue', 'severe muscle pain', 'gas and bloating', 'balance problems']","[('Zocor', 'has_adverse_drug_reaction', 'severe muscle pain'), ('Zocor', 'has_adverse_drug_reaction', 'memory loss'), ('pravastatin', 'has_adverse_drug_reaction', 'increasing fatigue'), ('pravastatin', 'has_adverse_drug_reaction', 'gas and bloating'), ('pravastatin', 'has_adverse_drug_reaction', 'heart palpitations'), ('pravastatin', 'has_adverse_drug_reaction', 'balance problems')]"
"Have been taking for one month after trying Crestor for three months.  Stopped Crestor due too severe muscle pains in my legs.  Side effects with pravastatin have been stomach pain and gas belching before/after every meal, fatigue, and joint pains.  Seeing doctor again in three weeks and plan to develop new plan.","['pravastatin', 'Crestor']","['gas belching before/after every meal', 'joint pains', 'stomach pain', 'fatigue', 'severe muscle pains in my legs']","[('Crestor', 'has_adverse_drug_reaction', 'severe muscle pains in my legs'), ('pravastatin', 'has_adverse_drug_reaction', 'stomach pain'), ('pravastatin', 'has_adverse_drug_reaction', 'gas belching before/after every meal'), ('pravastatin', 'has_adverse_drug_reaction', 'fatigue'), ('pravastatin', 'has_adverse_drug_reaction', 'joint pains')]"
I have been on 20 mg of pravastatin for 15 years. My cholesterol has stayed within acceptable levels.I have had calf pain all along however my muscle tone is excellent and overall health has been great. I have gone 6 months at a time on a half dose (I did it on my own) and find little difference. I would say it has been positive for me.,['pravastatin'],['calf pain'],[]
"I hace never had a UTI before until now. I was given macrobid by the ER. ever since I started taking it, my heart races and makes me so dizzy I almost pass out. I puke constantly and always feel like im going to puke. My stomache is swollen and hurts. I cant eat. Im really tired. My urine is changing crazy colors from like neon yellow to a dark yellow brown. I dont make any bowel movements. And from all the responses to this pill, I think its time they come up with a different solution :(",['macrobid'],"['dizzy', 'almost pass out', 'puke constantly', 'urine is changing crazy colors', 'dont make any bowel movements', 'stomache is swollen and hurts', 'really tired', 'heart races', 'feel like im going to puke', 'cant eat']","[('macrobid', 'has_adverse_drug_reaction', 'heart races'), ('macrobid', 'has_adverse_drug_reaction', 'dizzy'), ('macrobid', 'has_adverse_drug_reaction', 'almost pass out'), ('macrobid', 'has_adverse_drug_reaction', 'puke constantly'), ('macrobid', 'has_adverse_drug_reaction', 'feel like im going to puke'), ('macrobid', 'has_adverse_drug_reaction', 'stomache is swollen and hurts'), ('macrobid', 'has_adverse_drug_reaction', 'cant eat'), ('macrobid', 'has_adverse_drug_reaction', 'really tired'), ('macrobid', 'has_adverse_drug_reaction', 'urine is changing crazy colors'), ('macrobid', 'has_adverse_drug_reaction', 'dont make any bowel movements')]"
"I thought I was coming down with a UTI (I've only ever had 2 before, and I end to be almost asymptomatic and then suddenly acute). I was starting a new job and didn't want to risk it, so I had a urinalysis done at a local clinic. I didn't test strongly for a UTI but they agreed to give me antibiotics just in case.I'm allergic to sulfa so they gave me macrobid. That was a week ago, and I've been feeling like crap, so I decided to check the drug out here. I see that many other women share my symptoms: night sweats, muscle and joint aches (I thought I was either having a kidney infection, a ruptured disc, or horrible cramps.) I just took a dose, and I dread tonight, but you can be sure I'm not taking any more.Read More Read Less",['macrobid'],"['kidney infection', 'ruptured disc', 'UTI', 'horrible cramps', 'muscle and joint aches', 'night sweats']","[('macrobid', 'has_adverse_drug_reaction', 'night sweats'), ('macrobid', 'has_adverse_drug_reaction', 'muscle and joint aches')]"
i was 9 months pregnant and ended up with macrobid perscribed for a kidney infection and the 3rd dose started with pounding heartbeat and chest pain!!!! i called my ob and stopped the medication rather then put up with the side effects i was haveing wow they should really reaserch this medication,['macrobid'],"['kidney infection', 'chest pain', 'pounding heartbeat']","[('macrobid', 'has_adverse_drug_reaction', 'pounding heartbeat'), ('macrobid', 'has_adverse_drug_reaction', 'chest pain')]"
"I have been sick for 4 weeks with this medicine.  I kept getting (or so I thought), urinary tract infections...they put me on macrobid which would fix the infection because my cultures came out clear; however, I was so nauseous, night sweats, chills, severe malaise, exhaustion, horrible headache, backach, that I thought the UTI kept coming back.  From my gynecogist, I went to a urologist and then to her partner when she was out.  The prescribed Microbid after intercourse...I would be sick all day in bed the next few days.  When the urologist said I was fine that I should go to my internist because there was nothing wrong with me with my kidneys, I did so.  I spoke with my physicians PA and then the doctor.  They both told me there was nothing wrong with me and that I must have experienced a viral infection (that lasted 3 to 4 weeks).  I told each and every doctor my symptoms after I took the medicine and NOT ONE said that I was having a severe allergic reaction until I looked it up on line.  I was very very relieved that I was not losing my mind; however, I am so disappointed in the medical community.....to have FOUR doctors who could not put 2 and 2 together is extremely disturbing.  I WILL NEVER TAKE THIS DRUG AGAIN.  I thought I was going to die.  And then to be told it was probably just a little viral infection (no cause or reason)...is so upsetting.  I am a college-educated person who rarely goes to the doctor and I was made to feel like a hypochondriac. Years ago I took flagyl which resulted in severe joint pain - the doctor said he had never heard of flagyl doing that to anyone and that it was definitely NOT A SIDE EFFECT.  I called my druggist who read me the side effects and sure enough join pain was there.  What the heck is wrong with these doctors??Read More Read Less","['Microbid', 'macrobid', 'flagyl']","['sick for 4 weeks', 'severe malaise', 'horrible headache', 'chills', 'backach', 'sick all day in bed', 'urinary tract infections', 'severe joint pain', 'night sweats', 'nauseous', 'exhaustion']","[('macrobid', 'has_positive_reaction', 'urinary tract infections'), ('macrobid', 'has_adverse_drug_reaction', 'nauseous'), ('macrobid', 'has_adverse_drug_reaction', 'night sweats'), ('macrobid', 'has_adverse_drug_reaction', 'chills'), ('macrobid', 'has_adverse_drug_reaction', 'severe malaise'), ('macrobid', 'has_adverse_drug_reaction', 'exhaustion'), ('macrobid', 'has_adverse_drug_reaction', 'horrible headache'), ('macrobid', 'has_adverse_drug_reaction', 'backach'), ('flagyl', 'has_adverse_drug_reaction', 'severe joint pain')]"
"Side effects were too terrible.
First 5 days: drowsy, nausea, dry coughs.  Acceptable, because comparing to the pain to pass blood urine, they were fine.

Day 6: High fever, chest pain, shortness of breath. Went to hospital, chest x-ray showed haziness on the bottom of one side of my lung. Covid negative. white blood cells only slightly above the normal limit. Diagnosed with pneumonia, so they gave me antibiotics, but it didnât work, still high fever. The doctors had no clue why it didnât work, after a long time my body temperature was still very high. Then they just gave me Tylenol to lower my body temperature, it worked. I finally felt better after taking Tylenol not antibiotics, itâs also almost 24 hours after taking the last Macrobid, so iâm not sure the improvement was from the Tylenol or stopping Macrobid. 

Do not ignore dry coughs after taking this medication, it could develop serious lung problems. I only have UTI before this nightmare. young and healthy, no smoke, alcohol, or drugs. I have never got this sick before taking macrobid.

Just be careful taking this medication.
Read More Read Less","['Tylenol', 'Macrobid']","['pain to pass blood urine', 'serious lung problems', 'high fever', 'shortness of breath', 'haziness on the bottom of one side of my lung', 'High fever', 'drowsy', 'chest pain', 'UTI', 'nausea', 'dry coughs', 'pneumonia']","[('Tylenol', 'has_positive_reaction', 'high fever'), ('Macrobid', 'has_adverse_drug_reaction', 'drowsy'), ('Macrobid', 'has_adverse_drug_reaction', 'nausea'), ('Macrobid', 'has_adverse_drug_reaction', 'dry coughs'), ('Macrobid', 'has_adverse_drug_reaction', 'pain to pass blood urine'), ('Macrobid', 'has_adverse_drug_reaction', 'High fever'), ('Macrobid', 'has_adverse_drug_reaction', 'chest pain'), ('Macrobid', 'has_adverse_drug_reaction', 'shortness of breath'), ('Macrobid', 'has_adverse_drug_reaction', 'haziness on the bottom of one side of my lung'), ('Macrobid', 'has_adverse_drug_reaction', 'pneumonia'), ('Macrobid', 'has_adverse_drug_reaction', 'high fever'), ('Macrobid', 'has_adverse_drug_reaction', 'dry coughs'), ('Macrobid', 'has_adverse_drug_reaction', 'serious lung problems')]"
"First off, I do not know and was not told the cause of my UTI and was given this terrible antibiotic. I feel like crap and VERY tired/sleepy all the time. I couldn't go to bed bc of panic attacks and shaking. Extreme ichiness all over especially my hands and feet. Nausea, headache, dry cough, wheezing,  stomach ache, digestive problems, acid reflux and my face broke out. I thought I was coming down with bronchitis or something and then something told me to look up macrobid. I will never take this again!! I would rather drink pure concentrated cranberry juice even though I hate it. Just researched this medication and read that it may leave you with PERMANENT DAMAGE to the liver and nerves!!!! Why is the still on the market??!!Read More Read Less",['macrobid'],"['acid reflux', 'stomach ache', 'dry cough', 'shaking', 'VERY tired/sleepy all the time', 'headache', 'PERMANENT DAMAGE to the liver and nerves', 'digestive problems', 'Nausea', 'UTI', 'wheezing', 'feel like crap', 'Extreme ichiness all over especially my hands and feet', 'face broke out', 'panic attacks']","[('macrobid', 'has_adverse_drug_reaction', 'feel like crap'), ('macrobid', 'has_adverse_drug_reaction', 'VERY tired/sleepy all the time'), ('macrobid', 'has_adverse_drug_reaction', 'panic attacks'), ('macrobid', 'has_adverse_drug_reaction', 'shaking'), ('macrobid', 'has_adverse_drug_reaction', 'Extreme ichiness all over especially my hands and feet'), ('macrobid', 'has_adverse_drug_reaction', 'Nausea'), ('macrobid', 'has_adverse_drug_reaction', 'headache'), ('macrobid', 'has_adverse_drug_reaction', 'dry cough'), ('macrobid', 'has_adverse_drug_reaction', 'wheezing'), ('macrobid', 'has_adverse_drug_reaction', 'stomach ache'), ('macrobid', 'has_adverse_drug_reaction', 'digestive problems'), ('macrobid', 'has_adverse_drug_reaction', 'acid reflux'), ('macrobid', 'has_adverse_drug_reaction', 'face broke out'), ('macrobid', 'has_adverse_drug_reaction', 'PERMANENT DAMAGE to the liver and nerves')]"
"I first got a UTI a week and a half ago and my doctor started me on Bactrim for 3 days.  I felt fine after I finished the bactrim, but woke up Monday morning with the horrible UTI feeling again.  I went back to the doctor and she prescribed me the macrobid.  I took one pill Monday evening and decided to get another one in before bed.  That was was a horrible idea to say the least!!  I took both a\pills about 5 hours apart from eachother and it may me so sick to my stomache.  I was honestly on the verge of vomiting at any moment.  I called my doctor and she said to wait for an hour and if the symptoms do not let up then I need to go to the ER.  I felt so much better after the hour!  The next day, I didn't start the medication until the last time I took it the night before. I took the pill and has no symptoms at all.  I took another one this morning and I feel fine.  A bit of diarrhea and tiredness, but I can deal with all of that.  I still feel a bit uncomfortable in that are, but I assume it's because I just started taking the medication.Read More Read Less","['Bactrim', 'macrobid']","['tiredness', 'diarrhea', 'on the verge of vomiting', 'UTI', 'sick to my stomache']","[('macrobid', 'has_adverse_drug_reaction', 'sick to my stomache'), ('macrobid', 'has_adverse_drug_reaction', 'on the verge of vomiting'), ('macrobid', 'has_adverse_drug_reaction', 'diarrhea'), ('macrobid', 'has_adverse_drug_reaction', 'tiredness')]"
"I am allergis to pencillin,and keflex. So my doctor put me on macrbid after bladder surgery. Gess what. I am allergi to macrobid as well. Caused yeast infection of the bladder, eyes, nose, and throast. Had to be taken off. What is a person to do when they are allergic to the good stuff.","['keflex', 'macrobid', 'pencillin']","['yeast infection of the bladder, eyes, nose, and throast']","[('macrobid', 'has_adverse_drug_reaction', 'yeast infection of the bladder, eyes, nose, and throast')]"
"I took this for a UTI, but I don't know what caused it. Only took 2 100mg tablets (a.m. & p.m.) Woke up next day wanting to die. Migraine, achy joints, vomiting, severe chills. Dr. insisted it couldn't be the macrobid, but since I couldn't keep anything down anyway, I quit taking it. Got ciproflaxin instead. Read side effects on macrobid, and YES IT WAS FROM THE DRUG, not a bug!!!  Had doctor mark my file to never allow prescription of this POISON again for me!  DON'T TAKE THIS STUFF!!!","['macrobid', 'ciproflaxin']","['severe chills', 'Migraine', 'UTI', 'achy joints', 'vomiting']","[('macrobid', 'has_adverse_drug_reaction', 'Migraine'), ('macrobid', 'has_adverse_drug_reaction', 'achy joints'), ('macrobid', 'has_adverse_drug_reaction', 'vomiting'), ('macrobid', 'has_adverse_drug_reaction', 'severe chills')]"
I have had recurring UTI s and macrobid gives me abdominal pain but the doctor said cipro was not sensitive and I had no trouble with cipro. The macrobid makes me sick.,"['macrobid', 'cipro']","['abdominal pain', 'sick', 'recurring UTI']","[('macrobid', 'has_adverse_drug_reaction', 'abdominal pain'), ('macrobid', 'has_adverse_drug_reaction', 'sick')]"
Have uti w no symptoms. Found out through routine urine test. Took 1 macrobid 100mg and feel horrendous. Body aches and fever like headache but no fever. My skin hurts to the touch. Dizzy and chilly. The worst antibiotic. It should be banned. I cannot wait for this to wear off.,['macrobid'],"['chilly', 'My skin hurts to the touch', 'Dizzy', 'uti w no symptoms', 'fever like headache but no fever', 'Body aches']","[('macrobid', 'has_adverse_drug_reaction', 'Body aches'), ('macrobid', 'has_adverse_drug_reaction', 'fever like headache but no fever'), ('macrobid', 'has_adverse_drug_reaction', 'My skin hurts to the touch'), ('macrobid', 'has_adverse_drug_reaction', 'Dizzy'), ('macrobid', 'has_adverse_drug_reaction', 'chilly')]"
"After trying to treat my UTILITY with over the counter meds, I ended up seeing my doctor anyway.  She diagnosed a bladder infection and my kidneys were also tender.  I've taken macrobid before and it's worked.  Only side effects are a touch of nausea and fatigue, which is normal for any antibiotic.",['macrobid'],"['nausea', 'bladder infection', 'fatigue', 'kidneys were also tender']","[('macrobid', 'has_positive_reaction', 'bladder infection'), ('macrobid', 'has_adverse_drug_reaction', 'nausea'), ('macrobid', 'has_adverse_drug_reaction', 'fatigue')]"
"I am 15 weeks pregnant and went to the ER for severe pain in my left kidney and pinching pain near my bladder. I was diagnosed with a kidney stone and a UTI. I was prescribed macrobid and am on day 6. So far, I have experienced stomach pain, severe headache, nausea, and diarreha. I can't eat much, so I am probably experiencing some of these symptons because I am not eating enough. I dread taking this. I am a teacher and have no time for side effects! It did, however, work on the pain of the UTI and that part of me is much better. I plan on finishing the regimine, but will be adding this nasty drug to my ""allergy"" list immediately! This site has been very helpful.Read More Read Less",['macrobid'],"['diarreha', 'severe pain in my left kidney', 'stomach pain', 'pinching pain near my bladder', 'severe headache', 'UTI', 'kidney stone', 'nausea']","[('macrobid', 'has_adverse_drug_reaction', 'stomach pain'), ('macrobid', 'has_adverse_drug_reaction', 'severe headache'), ('macrobid', 'has_adverse_drug_reaction', 'nausea'), ('macrobid', 'has_adverse_drug_reaction', 'diarreha'), ('macrobid', 'has_positive_reaction', 'UTI')]"
"I took macrobid for a uti, I was on the 5th day of taking it when I had my reaction.  I almost died from it. I had severe trouble breathing, chest pain, severe headache and neck pain, high fever, hives on arms legs and stomach, back pain & severe joint pain. I knew it was an allergic reaction because it was the only thing I was taking.  I took it in June and didn't feel back to normal until August. Also, after all that I went through, I still have the uti.",['macrobid'],"['high fever', 'severe trouble breathing', 'uti', 'chest pain', 'neck pain', 'severe headache', 'hives on arms legs and stomach', 'severe joint pain', 'back pain']","[('macrobid', 'has_adverse_drug_reaction', 'severe trouble breathing'), ('macrobid', 'has_adverse_drug_reaction', 'chest pain'), ('macrobid', 'has_adverse_drug_reaction', 'severe headache'), ('macrobid', 'has_adverse_drug_reaction', 'neck pain'), ('macrobid', 'has_adverse_drug_reaction', 'high fever'), ('macrobid', 'has_adverse_drug_reaction', 'hives on arms legs and stomach'), ('macrobid', 'has_adverse_drug_reaction', 'back pain'), ('macrobid', 'has_adverse_drug_reaction', 'severe joint pain'), ('macrobid', 'has_negative_reaction', 'uti')]"
"The instructions suggest waiting 30 min before lying down after taking a macrobid pill.   On two occasions I took a pill right before bed and I woke up feeling like I had the flu (body aches, fatigue, chills). The flu symptoms continued throughout the day.    I took my last pill yesterday. Today the flu symptoms are back and worse than ever.",['macrobid'],"['chills', 'fatigue', 'body aches', 'feeling like I had the flu', 'flu symptoms']","[('macrobid', 'has_adverse_drug_reaction', 'feeling like I had the flu'), ('macrobid', 'has_adverse_drug_reaction', 'body aches'), ('macrobid', 'has_adverse_drug_reaction', 'fatigue'), ('macrobid', 'has_adverse_drug_reaction', 'chills'), ('macrobid', 'has_adverse_drug_reaction', 'flu symptoms')]"
"My friend, age 60-65, was on macrobid for a UTI.  I do not know how long she was on it when she turned yellow.  After 3 weeks in a major hospital, doctors said there was nothing they could for her damaged liver.  She was sent home to die with her heartbroken family.",['macrobid'],"['damaged liver', 'UTI', 'turned yellow']","[('macrobid', 'has_adverse_drug_reaction', 'turned yellow'), ('macrobid', 'has_adverse_drug_reaction', 'damaged liver')]"
"I really react badly to Macrobid, even after one tablet the symptoms are so bad I and my Dr thought I had a kidney infection. I get uncontrollable chills and fever, I am sick several times then I get flu like muscle and joint aches, I can't sleep because I feel so ill but I feel so tired and weak. I have taken macrobid on three different occasions and only just realised it's the antibiotic making me feel like this after thinking I was having another kidney infection. Other antibiotics work better for me for uti, I don't react to them but with Macrobid I feel like I have been poisoned. I have missed so much work because it floors me for days. I have only taken one tablet this time and now I have read other reviews and realised it is Macrobid making me feel so bad I won't take this antibiotic ever again. Read More Read Less","['macrobid', 'Macrobid']","['uncontrollable chills and fever', 'kidney infection', 'feel like I have been poisoned', 'feel so tired and weak', ""can't sleep"", 'flu like muscle and joint aches', 'sick several times']","[('Macrobid', 'has_adverse_drug_reaction', 'uncontrollable chills and fever'), ('Macrobid', 'has_adverse_drug_reaction', 'sick several times'), ('Macrobid', 'has_adverse_drug_reaction', 'flu like muscle and joint aches'), ('Macrobid', 'has_adverse_drug_reaction', ""can't sleep""), ('Macrobid', 'has_adverse_drug_reaction', 'feel so tired and weak'), ('Macrobid', 'has_adverse_drug_reaction', 'feel like I have been poisoned')]"
"I was prescribed macrobid in Dec of 2019.
I ended up with a severe allergic reaction causing an episode of pneumonia for which I was hospitalized for 7 days.",['macrobid'],['episode of pneumonia'],"[('macrobid', 'has_adverse_drug_reaction', 'episode of pneumonia')]"
"I had to take macrobid for a bladder infection. I got very ill very fast and ended up in the emergency room, dehydrated from diarrhea. They had to put me on IV to get rehydrated. Never again will I take this drug!",['macrobid'],"['dehydrated from diarrhea', 'bladder infection']","[('macrobid', 'has_adverse_drug_reaction', 'dehydrated from diarrhea')]"
